"partid","R","H","CV"
65026001,0.52,0.64,0.42
65026101,0.48,0.82,0.26
65026201,0.48,0.82,0.38
65026301,0.44,0.74,0.3
65026401,0.48,0.84,0.42
65026501,0.68,0.48,0.56
65026601,0.52,0.86,0.36
65026701,0.42,0.6,0.46
65026801,0.46,0.72,0.42
65026901,0.46,0.8,0.32
65027001,0.42,0.72,0.32
65027101,0.42,0.72,0.36
65027201,0.4,0.74,0.34
65027301,0.48,0.72,0.26
65027401,0.46,0.8,0.34
65027501,0.38,0.76,0.48
65027601,0.42,0.74,0.46
65027701,0.5,0.76,0.48
65027801,0.46,0.78,0.38
65027901,0.48,0.7,0.22
65028001,0.4,0.66,0.46
65028101,0.4,0.7,0.44
65028201,0.54,0.52,0.62
65028301,0.44,0.82,0.26
65028401,0.52,0.76,0.28
65028501,0.42,0.66,0.4
65028601,0.48,0.78,0.22
65028701,0.48,0.72,0.34
65028801,0.44,0.86,0.36
65028901,0.42,0.74,0.26
65029001,0.46,0.78,0.24
65029101,0.42,0.68,0.36
65029201,0.48,0.76,0.38
65029301,0.5,0.8,0.32
65029401,0.54,0.78,0.36
65029501,0.46,0.76,0.36
65029601,0.54,0.88,0.42
65029701,0.48,0.7,0.38
65029801,0.46,0.44,0.48
65029901,0.34,0.66,0.48
65030001,0.5,0.84,0.24
65030101,0.44,0.8,0.28
65030201,0.52,0.88,0.34
65030301,0.38,0.8,0.28
65030401,0.52,0.84,0.38
65030501,0.44,0.88,0.24
65030601,0.42,0.8,0.38
65030701,0.56,0.78,0.36
65030801,0.44,0.72,0.4
65030901,0.4,0.78,0.42
65031001,0.52,0.72,0.48
65031101,0.54,0.84,0.34
65031201,0.38,0.76,0.42
65031301,0.4,0.68,0.42
65031401,0.44,0.8,0.42
65031501,0.52,0.92,0.34
65031601,0.46,0.66,0.4
65031701,0.5,0.9,0.3
65031801,0.46,0.86,0.34
65031901,0.46,0.76,0.32
65032001,0.48,0.74,0.46
65032101,0.46,0.72,0.32
65032201,0.5,0.72,0.32
65032301,0.44,0.82,0.26
65032401,0.52,0.76,0.46
65032501,0.5,0.92,0.28
65032601,0.52,0.84,0.38
65032701,0.48,0.68,0.5
65032801,0.44,0.88,0.32
65032901,0.46,0.86,0.34
65033001,0.5,0.72,0.44
65033101,0.52,0.82,0.38
65033201,0.5,0.82,0.26
65033301,0.54,0.74,0.4
65033401,0.52,0.68,0.44
65033501,0.44,0.88,0.32
65033601,0.48,0.88,0.32
65033701,0.48,0.84,0.28
65033801,0.56,0.68,0.52
65033901,0.4,0.74,0.34
65034001,0.5,0.58,0.48
65034101,0.54,0.48,0.44
65034201,0.44,0.78,0.3
65034301,0.56,0.9,0.26
65034401,0.5,0.9,0.34
65034501,0.3,0.74,0.42
65034601,0.52,0.84,0.3
65034701,0.48,0.76,0.32
65034801,0.48,0.82,0.34
65034901,0.42,0.8,0.34
65035001,0.5,0.8,0.32
65035101,0.48,0.68,0.42
65035201,0.44,0.7,0.3
65035301,0.46,0.74,0.36
65035401,0.5,0.8,0.24
65035501,0.62,0.68,0.48
65035601,0.42,0.74,0.4
65035701,0.52,0.72,0.4
65035801,0.42,0.82,0.34
65035901,0.44,0.84,0.24
65036001,0.4,0.7,0.38
65036101,0.44,0.82,0.34
65036201,0.54,0.28,0.82
65036301,0.52,0.76,0.38
65036401,0.48,0.82,0.32
65036501,0.42,0.7,0.4
65036601,0.52,0.78,0.36
65036701,0.5,0.88,0.3
65036801,0.4,0.8,0.32
65036901,0.46,0.66,0.38
65037001,0.5,0.82,0.4
65037101,0.46,0.84,0.24
65037201,0.4,0.76,0.48
65037301,0.4,0.6,0.38
65037401,0.4,0.82,0.26
65037501,0.48,0.46,0.74
65037601,0.36,0.72,0.38
65037701,0.5,0.78,0.34
65037801,0.4,0.8,0.36
65037901,0.56,0.5,0.5
65038001,0.6,0.42,0.48
65038101,0.52,0.84,0.22
65038201,0.5,0.84,0.24
65038301,0.48,0.8,0.36
65038401,0.48,0.9,0.26
65038501,0.5,0.82,0.38
65038601,0.34,0.66,0.32
65038701,0.44,0.66,0.5
65038801,0.44,0.86,0.34
65038901,0.36,0.74,0.48
65039001,0.4,0.82,0.3
65039101,0.4,0.74,0.42
65039201,0.48,0.7,0.34
65039301,0.46,0.76,0.46
65039401,0.46,0.86,0.34
65039501,0.5,0.76,0.28
65039601,0.52,0.88,0.36
65039701,0.48,0.86,0.34
65039801,0.5,0.8,0.42
65039901,0.44,0.78,0.34
65040001,0.46,0.66,0.5
65040201,0.52,0.78,0.34
65040301,0.42,0.74,0.38
65040401,0.52,0.82,0.38
65040501,0.54,0.84,0.38
65040601,0.44,0.72,0.36
65040701,0.5,0.44,0.72
65040801,0.46,0.88,0.3
65040901,0.5,0.68,0.34
65041001,0.54,0.78,0.42
65041101,0.4,0.48,0.58
65041201,0.48,0.72,0.42
65041301,0.44,0.8,0.4
65041401,0.38,0.78,0.34
65041501,0.36,0.72,0.32
65041601,0.42,0.88,0.36
65041801,0.44,0.76,0.3
