"vps","partid","CheckVps","R","CheckHolt","SwitchAll","SwitchH","SwitchL","SwitchLH","SwitchLL","SwitchGH","SwitchGL","SwitchPH","SwitchPL","R_all","CheckGamb","swp","MPLr"
893,65050401,0,5,0,14.166667,20,8.3333333,10,5,20,5,30,15,0.51785714,3,6,4
895,65050501,0,3,0,22.5,31.666667,13.333333,15,5,55,25,25,10,0.33928571,0,8,2
897,65050601,0,4,0,15,20,10,15,5,25,10,20,15,0.5,0,7,3
899,65050701,0,4,0,15.833333,23.333333,8.3333333,10,0,30,10,30,15,0.48214286,3,7,3
901,65050801,0,4,0,11.666667,16.666667,6.6666667,15,0,15,10,20,10,0.57142857,0,7,3
903,65050901,0,4,0,5,8.3333333,1.6666667,10,5,10,0,5,0,0.71428571,0,7,3
905,65051001,0,7,0,-0.83333333,1.6666667,-3.3333333,-10,-5,0,-5,15,0,0.85714286,3,4,6
907,65051101,0,6,0,0.83333333,1.6666667,0,10,-10,-10,10,5,0,0.80357143,2,5,5
908,65051201,0,6,2,19.583333,22.5,16.666667,5,5,32.5,20,30,25,0.44642857,3,2,8
909,65051301,0,4,0,0.83333333,1.6666667,0,0,-10,-5,0,10,10,0.80357143,0,7,3
910,65051401,0,7,0,4.5833333,5.8333333,3.3333333,-5,-5,0,0,22.5,15,0.73214286,3,4,6
911,65051501,0,5,0,2.9166667,5.8333333,0,0,0,7.5,0,10,0,0.76785714,3,6,4
912,65051601,0,5,2,15.416667,24.166667,6.6666667,25,5,-2.5,-10,50,25,0.5,3,2,8
914,65051701,0,6,0,23.333333,31.666667,15,10,5,45,25,40,15,0.32142857,0,5,5
916,65051901,0,7,0,11.666667,18.333333,5,0,0,20,5,35,10,0.57142857,0,4,6
917,65052001,0,5,0,8.3333333,8.3333333,8.3333333,-10,0,10,15,25,10,0.64285714,0,6,4
918,65052101,0,3,0,10,11.666667,8.3333333,25,0,-10,15,20,10,0.60714286,2,8,2
920,65052201,0,6,0,15,21.666667,8.3333333,15,5,25,10,25,10,0.5,0,5,5
922,65052301,0,4,0,4.1666667,6.6666667,1.6666667,10,0,0,0,10,5,0.73214286,0,7,3
924,65052401,0,5,0,15,23.333333,6.6666667,10,0,35,10,25,10,0.5,0,6,4
925,65052501,0,1,0,20,26.666667,13.333333,10,5,40,20,30,15,0.39285714,0,10,0
927,65052601,0,3,0,14.166667,18.333333,10,15,5,20,15,20,10,0.51785714,0,8,2
928,65052701,0,5,0,9.1666667,10,8.3333333,5,5,5,15,20,5,0.625,0,6,4
929,65052801,0,3,0,24.583333,33.333333,15.833333,5,2.5,65,30,30,15,0.30357143,3,8,2
930,65052901,0,5,0,12.083333,19.166667,5,15,-5,25,10,17.5,10,0.55357143,3,6,4
932,65053001,0,7,0,11.666667,15,8.3333333,10,5,15,15,20,5,0.57142857,0,4,6
934,65053101,0,5,1,3.3333333,8.3333333,-1.6666667,7.5,0,2.5,-10,15,5,0.75,3,5,5
