bibkey,paper,task,subject,age,gender,choice,r,country
Amador2021,Amador Hidalgo et al. 2021,HL,364,26,0,4,0.33394572336692363,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,365,21,1,1,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,366,19,1,2,-0.08660136738792062,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,367,23,0,5,0.6697952277213335,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,368,22,0,2,-0.04532616509124632,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,369,21,0,7,1.3305340532260015,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,370,45,1,6,1.0077522200997917,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,371,19,0,7,1.2928729071374983,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,372,21,0,6,0.9245247294660657,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,373,19,1,2,-0.12419075274839997,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,374,18,1,7,1.3791421551676466,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,375,23,0,7,1.4148821686767041,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,376,21,1,6,1.048985579353757,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,379,19,1,2,-0.33612360095605254,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,380,18,0,6,0.903365257452242,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,381,23,0,3,0.0690534025290981,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,382,19,1,2,-0.2655411706119776,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,383,20,0,1,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,384,22,1,5,0.7547475497331471,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,385,19,1,3,0.03536060594487935,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,386,18,0,3,0.2800298294587993,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,387,18,1,2,-0.03827943073585627,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,388,18,0,3,0.13212469550548123,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,389,19,1,3,0.033696689140051604,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,390,17,0,3,0.22496686022495854,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,391,18,1,4,0.32673439781647173,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,392,19,1,3,0.1800251119444147,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,393,18,0,2,-0.009103041123598776,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,394,19,1,5,0.8174965814128518,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,395,19,0,7,1.2491616645781323,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,396,42,1,1,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,397,18,1,4,0.42918156159808857,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,399,20,1,4,0.4932063921680674,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,400,18,0,4,0.37383314286591485,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,401,22,0,6,0.9353905979078263,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,402,20,0,2,-0.22752159412950276,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,403,18,1,0,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,404,19,1,3,0.19020018863724547,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,405,18,1,6,0.8691826072055846,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,406,18,0,5,0.6719110084511339,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,407,18,1,8,1.8687128675822169,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,408,19,0,5,0.6299653479782864,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,409,18,1,6,1.0383466659579426,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,410,18,1,6,1.124860171508044,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,411,19,1,3,0.20994881606660784,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,412,20,0,1,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,413,18,0,4,0.5306475925375707,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,414,20,0,5,0.6863890372077003,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,415,18,1,6,1.1429868260631337,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,416,19,0,6,0.8639886449556797,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,417,18,1,5,0.7816654041456058,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,418,32,0,3,0.03527736329240724,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,419,18,0,4,0.4524717048974708,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,420,19,1,2,-0.35386231521144507,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,421,17,1,6,1.1453850221820174,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,422,18,1,6,0.9852132968604564,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,423,18,0,4,0.3756937072938308,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,424,19,1,2,-0.290180990640074,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,426,19,1,3,0.2246024608705193,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,427,18,0,6,1.1365784014808014,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,428,19,0,6,1.1157118881586938,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,429,18,0,4,0.5073936197697184,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,430,19,1,2,-0.27564156379550697,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,431,18,1,10,2.71,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,432,19,1,5,0.6193016842287034,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,433,18,0,3,0.08439158556051553,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,434,17,0,4,0.5678612142405473,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,435,20,1,0,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,436,18,1,3,0.22414070119149984,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,438,18,1,4,0.50126501792809,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,439,18,0,7,1.478400188907981,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,440,18,0,5,0.6413711252994835,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,442,19,0,4,0.4455665116384625,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,443,22,1,1,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,444,19,0,2,-0.3695753432624042,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,445,18,0,8,1.7627275911392644,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,446,19,0,4,0.46600399162387474,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,448,18,0,2,-0.25027059054002165,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,449,18,1,4,0.40563829938648266,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,450,18,0,6,0.9184366883244365,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,451,18,1,2,-0.3329547451622784,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,452,18,0,4,0.43064544441178443,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,453,18,0,4,0.35097004361916334,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,458,18,0,0,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,461,17,1,4,0.40295770483091475,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,462,19,1,3,0.2044399254769087,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,463,18,1,5,0.7449836814031005,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,464,20,0,8,1.5610929899755865,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,465,18,1,6,0.9783478212775663,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,466,19,1,6,0.9812596086645499,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,467,18,1,6,1.1304358633700757,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,469,18,0,2,-0.0623621579073369,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,470,18,1,3,0.05808164547663182,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,471,18,1,3,0.18510272360639649,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,472,18,0,4,0.5443092143977992,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,473,18,1,6,0.9471487951697781,Spain
