bibkey,paper,task,subject,choice,r,city,tablet_id,age,gender,country,latitude,longitude
Dannenberg2022,Dannenberg et al. 2022,IG,111,255,-14.305412722742568,Guta,3,40,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,112,733,0.8077005864167299,Guta,4,46,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,113,511,0.6451442082370373,Guta,5,55,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,114,297,-0.7109132215697074,Guta,6,45,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,115,490,0.616982387509118,Guta,7,38,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,116,401,0.418531389712607,Guta,8,30,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,117,861,0.8612481867331404,Guta,9,44,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,118,600,0.7304227103091845,Guta,10,36,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,119,698,0.7906092789601804,Guta,11,30,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,120,564,0.7009897912154858,Guta,12,35,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,121,413,0.45723416631795205,Guta,13,45,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,122,695,0.7890633121259109,Guta,14,28,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,123,270,-2.8990886152830533,Guta,15,37,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,124,160,1.724541939040067,Guta,16,53,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,125,490,0.616982387509118,Guta,17,35,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,126,579,0.7139135843098277,Guta,18,28,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,127,523,0.6594668252251775,Guta,1,34,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,128,761,0.8203348435461867,Guta,2,34,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,129,546,0.684004096894798,Guta,3,19,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,130,775,0.8263811496124114,Guta,4,35,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,131,388,0.369304167888884,Guta,5,53,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,132,513,0.6476128567474805,Guta,6,58,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,133,407,0.4385936550227538,Guta,7,50,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,134,514,0.6488345304487809,Guta,8,47,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,135,876,0.8672215570814564,Guta,9,37,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,136,600,0.7304227103091845,Guta,10,36,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,137,731,0.8067662719495438,Guta,11,30,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,138,710,0.7966570445270359,Guta,12,22,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,139,709,0.7961610640564137,Guta,13,32,0,Tanzania,-2.075145935036385,33.74057028922266
