"partid","duration","raw","percentile","t","z","iq","stanine","sten","c11"
65041401,16,6.88,60,53,103,105,6,6,6
65041501,18,9.27,14,39,89,84,3,3,2
65041601,16,8.78,19,41,91,87,3,4,3
65041801,17,8.48,23,43,93,90,4,4,3
65041901,16,11.75,2,29,79,69,1,1,0
65042001,17,8.34,26,44,94,91,4,4,4
65042101,18,8.64,21,42,92,88,3,4,3
65042201,19,8.84,19,41,91,87,3,4,3
65042301,16,5.66,85,60,110,115,7,8,8
65042401,15,6.39,71,56,106,109,6,7,7
65042501,15,7.26,50,50,100,100,5,6,5
65042601,15,8.32,26,44,94,91,4,4,4
65042701,18,9.95,9,37,87,81,2,3,2
65042801,19,7.47,46,49,99,99,5,5,5
65042901,16,8.94,18,41,91,87,3,4,3
65043101,17,8.54,22,42,92,88,3,4,3
65043401,18,9.11,16,40,90,85,3,4,3
65043501,17,8.99,18,41,91,87,3,4,3
65043601,16,7.69,40,47,97,96,4,5,4
65043801,19,10.13,8,36,86,79,2,3,2
65043901,17,8.06,31,45,95,93,4,5,4
65044001,17,6.37,71,56,106,109,6,7,7
65044101,16,6.67,64,54,104,106,6,6,6
65044201,18,6.98,57,52,102,103,5,6,6
65044301,14,6.81,61,53,103,105,6,6,6
65044401,16,6.23,74,56,106,109,6,7,7
65044501,17,9.54,12,38,88,82,3,3,2
65044601,17,8.03,32,45,95,93,4,5,4
65044701,15,6.97,57,52,102,103,5,6,6
65044801,18,7.53,44,48,98,97,5,5,5
65044901,17,8.86,19,41,91,87,3,4,3
65045001,17,6.93,58,52,102,103,5,6,6
65045101,19,6.88,60,53,103,105,6,6,6
65045201,18,10.12,8,36,86,79,2,3,2
65045301,16,7.04,55,51,101,102,5,6,5
65045401,21,10.04,8,36,86,79,2,3,2
65045501,19,11.1,3,31,81,72,1,2,0
65045601,19,7.93,35,46,96,94,4,5,4
65045701,18,9.47,12,38,88,82,3,3,2
65045801,20,7.5,45,49,99,99,5,5,5
65045901,16,9.4,13,39,89,84,3,3,2
65046001,18,10.26,6,34,84,76,2,2,1
65046101,16,7.41,47,49,99,99,5,5,5
65046201,15,8.19,29,44,94,91,4,4,4
65046301,19,7.51,45,49,99,99,5,5,5
65046401,16,7.56,43,48,98,97,5,5,5
65046601,13,7.52,45,49,99,99,5,5,5
65046701,15,7.25,50,50,100,100,5,6,5
65046801,13,6.77,62,53,103,105,6,6,6
65046901,18,7.5,45,49,99,99,5,5,5
65047001,18,8.36,25,43,93,90,4,4,3
65047101,17,7.66,41,48,98,97,5,5,5
65047201,17,7.39,47,49,99,99,5,5,5
65047301,15,5.29,89,62,112,118,7,8,8
65047401,18,8.5,23,43,93,90,4,4,3
65047501,17,7.45,46,49,99,99,5,5,5
65047601,25,7.83,37,47,97,96,4,5,4
65047701,20,8.97,18,41,91,87,3,4,3
65047901,21,8.41,24,43,93,90,4,4,3
65048001,18,9.82,10,37,87,81,2,3,2
65048101,14,7.38,47,49,99,99,5,5,5
65048201,19,6.87,60,53,103,105,6,6,6
65048301,18,7.02,56,52,102,103,5,6,6
65048401,18,6.85,60,53,103,105,6,6,6
65048501,18,10.56,5,34,84,76,2,2,1
65048601,18,8.68,21,42,92,88,3,4,3
65048701,18,7.32,48,49,99,99,5,5,5
65048801,14,6.9,59,52,102,103,5,6,6
65048901,18,9.44,12,38,88,82,3,3,2
65049001,14,8.98,18,41,91,87,3,4,3
65049101,20,10.13,8,36,86,79,2,3,2
65049301,18,9.4,13,39,89,84,3,3,2
65049401,14,8.29,27,44,94,91,4,4,4
65049501,18,7.83,37,47,97,96,4,5,4
65049601,16,8.67,21,42,92,88,3,4,3
65049701,17,11.48,3,31,81,72,1,2,0
65049801,17,9.78,10,37,87,81,2,3,2
65049901,16,9.32,14,39,89,84,3,3,2
65050001,16,8.36,25,43,93,90,4,4,3
65050101,16,8.2,29,44,94,91,4,4,4
65050301,19,8.39,25,43,93,90,4,4,3
65050401,20,9.34,14,39,89,84,3,3,2
65050501,17,9.99,9,37,87,81,2,3,2
65050601,15,9.67,11,38,88,82,3,3,2
65050701,16,8.54,22,42,92,88,3,4,3
65050801,17,6.76,63,53,103,105,6,6,6
65050901,17,8.98,18,41,91,87,3,4,3
65051001,15,8.56,22,42,92,88,3,4,3
65051101,18,8.93,18,41,91,87,3,4,3
65051201,16,8.66,21,42,92,88,3,4,3
65051301,17,7.36,48,49,99,99,5,5,5
65051401,20,9.48,12,38,88,82,3,3,2
65051501,15,9.77,10,37,87,81,2,3,2
65051601,25,12.27,2,29,79,69,1,1,0
65051701,17,7.82,38,47,97,96,4,5,4
65051901,18,5.89,81,59,109,114,7,7,7
65052001,18,7.28,49,50,100,100,5,6,5
