"partid","CCTncards","CCTacards","CCTratio","CCTaratio","CCTpayoff"
68029701,287,169,0.13162894,0.11162065,27.97619
68029801,432,308,0.18977764,0.2229934,45.535714
68029901,421,198,0.20528913,0.29699666,18.630952
68030001,374,238,0.18129602,0.24227442,14.047619
68030101,434,238,0.1983031,0.22341538,51.607143
68030201,407,246,0.19981683,0.22258201,97.678571
68030301,529,280,0.24550364,0.30951498,62.738095
68030401,462,130,0.21419076,0.24746819,-50.595238
68030501,328,172,0.15974745,0.16501027,-20.77381
68030601,484,220,0.2088641,0.19973735,8.0357143
68030701,517,172,0.22172767,0.21429256,-49.22619
68030801,625,60,0.28429014,0.40426863,-34.166667
68030901,474,168,0.22810405,0.29572231,-17.857143
68031001,572,322,0.26064462,0.46689073,53.27381
68031101,272,176,0.1458689,0.14986123,29.047619
68031201,554,299,0.25573955,0.35263399,84.464286
68031301,231,28,0.12428512,0.028423943,68.214286
68031401,220,66,0.11933253,0.055788483,57.142857
68031501,641,165,0.29448428,0.49074729,11.785714
68031601,132,104,0.077062186,0.060241938,27.678571
68031701,515,250,0.24286124,0.34879541,62.916667
68031801,371,183,0.16772524,0.1528318,53.392857
68031901,347,160,0.15934958,0.13120133,66.547619
68032001,491,264,0.21170205,0.25582812,53.75
68032101,257,115,0.11712145,0.081705399,41.369048
68032201,317,97,0.15634498,0.093731597,95.952381
68032301,189,153,0.10747712,0.10000198,27.261905
68032401,296,204,0.13334391,0.13083642,71.428571
68032501,365,149,0.16780409,0.13204243,83.571429
68032601,381,98,0.18052225,0.13054431,17.559524
68032701,382,136,0.18105756,0.13890925,51.904762
68032801,460,121,0.22659557,0.22415057,39.464286
68032901,389,229,0.17472674,0.20577994,48.75
68033001,318,186,0.15103542,0.1499211,67.559524
68033101,392,201,0.18016957,0.2003547,18.511905
68033201,517,129,0.2217375,0.20899207,-23.154762
68033301,510,217,0.22654142,0.25472326,8.9285714
68033401,384,189,0.16473897,0.13120618,83.452381
68033501,231,176,0.10401701,0.1019793,24.107143
68033601,516,303,0.23299262,0.30096127,51.071429
68033701,431,165,0.20796468,0.19677697,69.940476
68033801,585,230,0.26591119,0.37946955,6.6666667
68033901,548,244,0.26677625,0.44456804,45.059524
68034001,372,171,0.16652138,0.16340606,12.380952
68034101,397,179,0.18804747,0.15564499,48.035714
68034201,518,291,0.20848133,0.20905433,19.583333
68034301,422,249,0.18367162,0.2163044,2.1428571
68034401,437,234,0.20378796,0.22803656,71.011905
68034801,457,190,0.19527266,0.18679276,-23.869048
68034901,228,162,0.12024341,0.11924293,27.380952
68035001,401,257,0.18516124,0.24304945,26.607143
68035101,334,170,0.16793005,0.17142556,25
68035301,341,241,0.16710323,0.21625243,-2.797619
68035501,284,135,0.1468339,0.13536812,-5.3571429
68035601,428,86,0.20558808,0.19073044,-10.416667
68035701,339,204,0.13958446,0.13895051,-21.071429
68035801,469,181,0.21484778,0.28364408,22.202381
68035901,474,172,0.2235702,0.23367075,80.654762
68036101,327,123,0.13639546,0.082290467,49.642857
68036201,527,248,0.24549832,0.33776376,18.27381
68036301,526,242,0.25609958,0.39096241,47.083333
68036501,496,87,0.21128585,0.14189487,-6.1309524
68036601,382,220,0.18505209,0.20265827,34.702381
68036701,553,129,0.25210421,0.38618334,-32.678571
68036801,327,133,0.16210211,0.11474882,86.964286
68036901,472,160,0.23035616,0.20205155,73.511905
68037001,136,4,0.055085331,0.0026873464,65.952381
68037101,326,183,0.14945656,0.1636954,29.345238
68037301,357,204,0.17762694,0.20994142,14.821429
68037401,355,259,0.17736784,0.21248732,37.738095
68037501,332,130,0.15524785,0.10277002,101.84524
68037601,457,308,0.2152535,0.26746453,55.892857
68037701,428,279,0.18007522,0.21633063,8.452381
68037801,651,231,0.30029185,0.40143109,72.797619
