bibkey,paper,task,subject,age,gender,choice,r,country,city,lattitude,longitude
Shachat2021,Shachat 2021,CEPL,174,21,1,4,-0.09365115396445611,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,175,19,1,3,-2.845455056913197,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,176,17,1,5,0.3393920607236214,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,177,18,1,5,0.8887684682686812,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,178,18,1,4,-0.30976082507753744,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,179,19,1,4,-0.4191243827412836,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,180,20,1,7,2.133686506948434,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,181,18,1,5,0.7535628835624084,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,182,23,1,1,-2.93,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,183,22,1,4,-0.23774187637958666,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,184,18,1,5,0.401715169204399,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,185,20,1,7,3.6937389967171477,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,186,19,0,7,3.0064337015291676,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,187,19,1,4,-0.668165038654115,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,188,23,0,4,-0.8706619804142974,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,189,22,1,4,-0.5758131907507777,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,190,18,0,4,-0.2729302066704258,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,192,22,1,4,-0.24189943775534628,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,193,20,0,5,0.43238941521616653,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,194,18,1,6,1.4763698413176463,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,195,18,0,4,-0.18629943971522145,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,196,22,1,6,1.8726289605768398,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,197,21,1,4,-0.33937736908206717,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,198,22,1,4,-0.8936788300098851,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,199,21,1,4,0.011953961839899385,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,200,19,0,5,0.8135277781751937,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,201,19,1,5,0.5618276148149743,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,202,19,0,5,0.48804760358761995,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,203,20,1,5,0.8760894359624944,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,204,19,1,6,1.856575248655863,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,205,19,1,5,0.3593258645548485,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,206,20,1,4,-0.5828521993639879,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,207,19,0,5,0.5126959383301437,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,208,18,1,5,0.2992157065169886,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,209,20,1,3,-2.136853688338306,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,210,22,0,5,0.18042037479113787,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,211,20,0,4,-0.8845950286020525,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,212,20,1,6,1.4654489138070494,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,213,20,1,5,0.38585527016315607,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,214,21,1,3,-1.4847890086635016,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,215,21,1,4,-0.15541982570663093,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,216,19,1,4,0.03292386467335762,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,217,20,0,5,0.47875578655861317,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,218,21,0,4,-0.34490465125069014,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,219,19,0,5,0.4536572320316918,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,220,20,0,4,-0.1379113608645275,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,221,19,0,5,0.6695738572045229,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,222,18,0,5,0.08490129126468673,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,223,19,0,5,0.7341576409735717,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,224,21,0,5,0.6032606524042785,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,225,20,0,5,0.6076229910412803,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,226,21,0,3,-1.5333692908426748,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,227,21,0,3,-2.2965073017240503,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,228,19,0,5,0.8885632078023626,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,229,20,1,3,-1.2516849185619503,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,230,23,0,5,0.9126570080127567,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,231,19,1,4,-0.6668646680912934,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,232,19,1,4,-0.7997891935519874,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,233,21,1,5,0.3789479958382435,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,234,20,1,5,0.1677589411637746,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,235,21,1,5,0.903091861361172,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,236,20,0,6,1.6477487499825658,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,237,18,0,5,0.4380186359165236,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,238,19,1,5,0.10520367411663756,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,239,20,0,5,0.4525505058490671,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,240,19,0,6,1.0647781576914712,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,241,19,1,4,-0.04404863903531797,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,242,21,0,5,0.13281954236328603,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,243,24,1,5,0.8492003267840482,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,244,19,1,6,1.368685827497393,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,245,21,1,6,1.93084812767338,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,246,19,1,5,0.18604292672360317,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,247,20,1,5,0.09249659500550479,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,248,24,1,3,-1.5710038494458423,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,249,20,1,4,-0.7055676310998387,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,250,20,0,5,0.9768390254746191,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,251,19,1,4,-0.2150324439862743,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,252,22,1,3,-1.729622894518543,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,253,18,0,7,3.532142910247203,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,254,20,0,3,-1.1471212919079699,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,255,20,0,5,0.2862213976960629,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,256,21,1,4,-0.3552657877770252,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,257,21,0,5,0.4401222411287017,China,Wuhan,30.592850,114.305542
