"partid","gen_valence","gen_arousal","gen_arouspos","gen_arousneg","gen_happy","gen_afraid","gen_sad","gen_angry","gen_motivat","gen_concentr","gen_timepr","gen_tired","pre_valence","pre_arousal","pre_arouspos","pre_arousneg","pre_happy","pre_afraid","pre_sad","pre_angry","pre_motivat","pre_concentr","pre_timepr","pre_tired","mid1_valence","mid1_arousal","mid1_arouspos","mid1_arousneg","mid1_happy","mid1_afraid","mid1_sad","mid1_angry","mid1_motivat","mid1_concentr","mid1_timepr","mid1_tired","mid2_valence","mid2_arousal","mid2_arouspos","mid2_arousneg","mid2_happy","mid2_afraid","mid2_sad","mid2_angry","mid2_motivat","mid2_concentr","mid2_timepr","mid2_tired","post_valence","post_arousal","post_arouspos","post_arousneg","post_happy","post_afraid","post_sad","post_angry","post_motivat","post_concentr","post_timepr","post_tired"
68020201,41,70,59,55,58,69,60,46,57,40,32,59,69,59,81,54,59,10,0,0,93,90,11,0,59,55,70,61,61,11,3,11,86,80,11,42,56,44,13,27,43,10,38,13,33,76,10,63,41,31,57,13,59,23,56,4,29,20,57,82
68020301,90,70,89,14,86,34,21,25,69,53,31,60,70,30,45,1,66,1,2,1,79,79,11,64,64,76,84,0,55,2,1,9,75,70,10,30,59,29,46,8,59,0,2,1,70,69,9,69,35,29,31,30,33,1,3,17,62,37,59,66
68020401,70,31,79,69,60,64,54,54,91,79,85,41,77,59,54,61,80,78,19,21,87,78,31,68,31,76,24,70,34,32,70,72,71,81,37,25,14,80,13,81,14,14,26,73,79,85,7,6,71,18,53,38,63,33,31,48,36,57,32,58
68020601,89,21,69,10,89,61,9,11,80,40,80,11,89,10,60,0,81,20,0,0,80,80,30,20,80,79,60,0,90,11,0,10,90,79,80,0,80,70,21,21,81,11,1,0,71,71,30,60,90,30,29,1,90,19,0,0,30,39,71,70
68020801,80,70,64,34,100,20,10,60,97,89,100,69,100,30,50,0,100,24,0,0,100,90,0,69,21,79,0,69,19,29,79,87,30,35,11,74,65,34,32,1,74,34,10,0,64,59,68,69,43,38,29,23,37,1,25,73,31,36,74,67
68020901,73,71,64,44,63,19,31,30,64,66,58,39,69,77,84,9,83,7,20,6,78,76,38,16,75,74,94,1,82,2,9,2,84,88,7,18,78,72,69,28,76,0,0,18,64,56,61,21,57,36,65,57,65,13,20,54,76,70,18,30
68021001,70,41,31,66,70,70,30,41,69,78,79,68,71,31,31,0,69,60,0,0,79,79,31,10,40,55,0,61,53,0,0,11,30,41,9,69,21,60,1,70,39,0,0,69,46,60,69,41,30,40,0,40,21,0,1,69,33,22,59,78
68021101,71,12,41,1,70,10,24,11,37,59,13,60,62,11,18,16,60,11,12,1,44,67,21,69,57,63,44,42,61,2,1,18,60,72,0,33,70,56,28,19,67,1,0,3,58,64,1,29,66,25,45,32,59,1,2,1,58,59,1,70
68021201,95,31,79,11,99,71,10,10,99,89,70,70,80,10,39,0,80,9,19,0,80,94,0,70,90,71,80,9,81,0,1,10,100,99,10,31,89,20,61,0,92,0,0,0,89,89,0,60,39,30,39,0,38,0,81,28,30,78,0,29
68021301,70,38,30,60,60,9,19,20,29,19,69,69,73,19,50,19,59,10,0,18,60,89,0,39,59,40,48,38,42,56,35,55,68,70,54,40,69,16,62,28,58,21,19,32,70,62,28,33,65,31,35,33,60,7,26,31,66,60,22,34
68021401,79,29,90,10,89,11,30,40,90,50,21,21,69,0,19,0,59,0,0,0,80,90,10,0,31,20,10,60,20,0,10,59,59,60,1,0,32,33,28,31,19,1,1,42,10,1,2,69,60,11,29,61,51,0,11,69,29,21,9,30
68021501,69,59,100,10,89,9,20,69,90,70,100,60,89,70,70,0,79,0,0,0,100,89,59,19,59,61,38,40,89,11,41,21,88,29,89,89,70,39,30,0,80,10,10,0,79,29,80,89,68,79,40,41,80,1,22,41,69,79,89,100
68021601,69,58,59,35,71,10,0,10,59,47,19,55,20,21,30,28,41,65,60,74,55,70,48,21,60,20,59,60,60,45,5,42,58,51,72,0,74,9,55,10,65,26,46,40,69,70,1,17,65,29,58,56,58,19,54,20,59,48,41,30
68021701,40,53,30,60,39,60,59,60,61,48,60,49,50,21,53,14,49,12,10,10,76,60,1,9,41,60,19,40,37,1,57,60,80,70,40,10,38,57,37,59,36,28,59,58,77,60,40,37,56,43,59,38,59,21,38,20,40,61,19,63
68021801,79,60,69,40,70,20,0,60,40,50,90,40,90,59,41,0,69,0,0,0,29,59,0,60,10,69,0,71,40,0,0,80,69,58,88,11,20,64,0,84,25,0,0,80,4,8,0,70,49,0,0,0,62,0,0,0,54,66,3,60
68021901,70,88,79,23,94,31,9,18,69,78,31,12,61,41,57,0,43,1,40,11,60,88,0,33,48,9,52,0,80,1,47,2,62,81,1,33,69,29,70,0,75,0,0,0,65,81,0,40,68,44,79,0,75,0,0,0,62,43,0,41
68022001,75,58,83,38,66,36,29,23,60,45,69,76,43,26,46,49,58,0,0,0,33,31,0,85,81,78,81,0,86,0,1,0,98,84,14,14,48,47,27,1,51,0,1,5,56,53,1,66,43,9,0,1,48,0,1,0,15,16,1,100
68022101,76,24,80,17,75,56,8,30,79,75,62,59,69,15,76,1,78,14,8,2,70,77,1,70,74,69,74,10,74,56,0,9,75,74,5,40,49,71,60,53,59,55,20,54,60,60,69,70,44,37,54,33,47,33,6,54,34,65,69,81
68022201,62,36,60,24,68,39,23,7,44,43,10,58,61,23,59,60,78,9,42,6,40,38,5,59,67,68,59,36,59,37,10,35,58,57,29,38,32,44,58,58,21,16,11,15,26,20,19,69,49,42,54,5,55,7,6,15,59,41,10,21
68022301,79,60,69,29,80,9,10,19,81,40,90,19,89,20,40,10,70,0,0,0,60,79,10,31,29,71,29,61,45,10,28,70,70,58,20,45,60,21,21,19,64,2,9,10,69,69,10,29,57,10,14,18,57,7,4,2,32,30,0,62
68022401,69,31,61,12,80,20,8,16,81,59,10,61,93,12,65,20,80,0,0,0,90,90,0,4,40,65,29,55,40,0,9,26,75,61,1,20,49,47,52,12,60,0,0,19,54,47,10,56,67,74,70,37,65,0,0,43,30,45,66,66
68022501,70,40,60,40,68,39,29,60,41,32,10,60,61,30,69,10,40,9,10,11,10,89,10,10,69,62,69,21,68,14,9,18,69,68,17,10,40,70,59,58,61,58,13,17,70,69,10,19,58,58,60,36,65,28,34,38,70,61,38,57
68022601,40,69,61,59,60,69,61,51,69,30,70,51,31,29,30,39,29,29,79,30,39,40,29,60,40,80,60,41,41,60,39,41,60,60,10,59,42,61,41,56,53,61,57,58,40,59,21,59,41,28,40,58,30,67,68,68,30,20,11,68
68022701,65,24,54,49,63,22,68,20,89,65,100,91,53,3,64,46,65,0,0,0,90,92,69,85,21,66,56,70,57,0,13,19,86,91,0,70,13,64,18,77,38,1,1,98,74,39,1,70,56,14,60,1,55,0,2,7,67,61,21,92
68022801,84,25,79,29,84,39,15,20,81,70,65,38,81,14,75,10,79,23,15,5,67,89,3,10,77,24,65,14,81,9,1,12,72,73,3,11,87,10,66,3,84,0,0,3,77,77,2,15,82,3,37,1,78,0,0,0,62,53,0,49
68022901,93,0,10,11,81,1,0,0,79,70,20,21,100,0,62,0,61,0,0,0,90,89,0,9,100,60,45,0,100,0,0,0,65,100,0,0,59,58,5,41,37,0,0,40,69,83,0,75,0,50,0,88,11,0,17,100,34,37,0,87
68023001,74,44,57,22,67,30,4,24,65,58,86,64,67,19,41,0,53,0,0,0,94,92,68,96,69,16,53,15,58,0,1,0,58,74,61,93,59,14,18,3,56,1,4,21,41,38,56,100,46,50,37,25,60,0,0,43,28,40,63,94
68023101,69,20,60,21,79,11,21,49,80,80,70,31,61,19,20,0,81,0,30,0,81,78,60,60,29,89,21,70,27,0,18,69,100,20,20,12,61,60,55,21,81,0,18,2,79,88,60,71,80,31,30,24,78,0,0,0,50,71,30,22
68023201,69,36,80,0,79,71,0,10,100,91,100,100,100,0,51,0,100,0,0,0,100,100,0,100,1,62,29,100,30,0,0,100,100,79,0,18,69,39,70,0,60,0,1,0,79,100,0,100,100,41,57,0,80,0,0,0,52,57,0,99
68023301,80,61,69,30,80,59,39,41,69,59,31,60,60,29,60,1,70,1,1,1,70,59,0,79,40,30,53,23,39,1,1,40,40,54,0,69,69,19,67,0,72,0,1,0,64,58,0,59,70,66,61,3,78,0,0,1,67,67,0,18
68023401,69,61,58,59,79,11,60,30,88,56,63,20,68,24,64,1,66,0,0,0,92,88,24,21,69,20,46,43,70,0,15,67,70,35,30,64,42,63,35,67,30,0,28,29,70,31,10,65,50,15,21,35,37,0,32,14,63,65,27,80
