SubjectID,RiskType1,RiskType2,task,choice,r,bibkey,paper
46,5,2,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
47,2,1,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
48,3,3,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
49,7,4,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
50,7,7,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
51,5,5,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
52,4,2,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
53,4,7,BRET,20,4,Csermely2016,Csermely and Rabas 2016
54,2,2,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
55,5,3,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
56,8,7,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
57,7,6,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
58,7,3,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
59,2,2,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
60,7,6,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
61,5,5,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
62,10,5,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
63,3,7,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
