bibkey,paper,task,subject,age,gender,choice,r,sex,treatment,country
Gnambs2015,Gnambs et al PONE 2015,BART,45,19,1,15.2,0.3114754098360656,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,46,19,1,20.22222222222222,0.4619289340101523,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,47,24,0,19.555555555555557,0.44000000000000006,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,48,28,0,31.375,0.9616858237547893,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,49,19,0,19.18181818181818,0.42799188640973623,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,50,21,0,39.42857142857143,1.6046511627906979,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,51,34,1,38,1.4615384615384615,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,52,27,0,18.8,0.415929203539823,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,53,24,0,9.909090909090908,0.18319327731092436,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,54,21,1,15.076923076923077,0.30817610062893086,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,55,21,0,26.857142857142858,0.7230769230769232,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,56,18,0,32.833333333333336,1.0534759358288772,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,57,20,0,13.4,0.2648221343873518,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,58,19,0,35,1.206896551724138,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,59,20,0,17.6,0.37931034482758624,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,60,21,1,32.375,1.023715415019763,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,61,22,0,17.666666666666668,0.38129496402877705,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,62,25,1,40.2,1.689075630252101,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,63,21,1,30.142857142857142,0.8902953586497889,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,64,21,0,22.22222222222222,0.5319148936170213,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,65,20,1,6.454545454545454,0.11216429699842022,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,66,25,1,20.727272727272727,0.4789915966386554,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,67,23,0,26.571428571428573,0.7099236641221374,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,68,25,0,29.375,0.8483754512635379,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,69,22,1,10.454545454545455,0.19524617996604415,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,70,20,0,14.666666666666666,0.29729729729729726,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,71,17,0,40,1.6666666666666667,1,blue ballonn,Germany
