"partid","MTr","MTr.1","MTr.2","MTr.3","dif.perc.bound","dif.amb.fx.bound","dif.risk.fx.bound","dif.amb.fx.bias","dif.risk.fx.bias"
64102401,0.743781094527363,0.768656716417911,0.716417910447761,0.746268656716418,0.2262,-0.11327,-0.021833,0.11192,0.11192
64102801,0.735074626865671,0.727611940298508,0.742537313432836,0.735074626865671,0.40589,-0.079117,-0.014038,-0.083339,-0.083339
64103301,0.757462686567164,0.746268656716418,0.757462686567164,0.768656716417911,0.12468,0.088639,0.015766,0.049619,0.049619
64103801,0.763681592039801,0.779850746268657,0.761194029850746,0.75,0.20012,-0.018389,0.0043947,-0.13558,-0.13558
64104501,0.743781094527363,0.761194029850746,0.735074626865671,0.735074626865671,0.17755,-0.036849,0.010753,0.19031,0.19031
64104601,0.738805970149254,0.735074626865671,0.746268656716418,0.735074626865671,0.20502,-0.043326,-0.033899,0.0038872,0.0038872
64105101,0.717661691542289,0.731343283582089,0.682835820895523,0.738805970149254,0.35715,-0.15198,-0.031669,-0.17364,-0.17364
64109601,0.748756218905473,0.716417910447761,0.768656716417911,0.761194029850746,0.10449,0.024503,-0.0079547,0.17971,0.17971
64110701,0.753731343283582,0.727611940298508,0.783582089552239,0.75,0.21242,-0.028066,0.081004,-0.046245,-0.046245
64111001,0.751243781094527,0.757462686567164,0.738805970149254,0.757462686567164,0.1909,-0.03699,0.035581,0.0029578,0.0029578
64111201,0.761194029850746,0.764925373134329,0.757462686567164,0.761194029850746,0.29115,-0.060537,0.095853,-0.17443,-0.17443
64112901,0.728855721393035,0.716417910447761,0.731343283582089,0.738805970149254,0.20659,-0.080923,0.08487,0.10081,0.10081
64113001,0.695273631840796,0.708955223880597,0.686567164179104,0.690298507462687,0.24437,0.16924,-0.21446,0.10705,0.10705
64114801,0.722636815920398,0.708955223880597,0.727611940298508,0.731343283582089,0.10842,-0.03229,0.028022,-0.094728,-0.094728
64115101,0.742537313432836,0.761194029850746,0.716417910447761,0.75,0.29371,-0.15154,-0.0082442,0.087519,0.087519
64115601,0.732587064676617,0.731343283582089,0.716417910447761,0.75,0.29926,0.050843,-0.13669,-0.1227,-0.1227
64116101,0.706467661691543,0.738805970149254,0.686567164179104,0.694029850746269,0.085422,0.048864,-0.056238,-0.10298,-0.10298
64116201,0.738805970149254,0.735074626865671,0.742537313432836,0.738805970149254,0.22486,-0.033614,0.023628,0.084723,0.084723
64116301,0.666666666666667,0.649253731343284,0.675373134328358,0.675373134328358,0.2774,-0.053464,0.034827,-0.12416,-0.12416
64116901,0.725124378109453,0.712686567164179,0.723880597014925,0.738805970149254,0.2137,0.02653,-0.087618,0.098561,0.098561
64117601,0.752487562189055,0.753731343283582,0.757462686567164,0.746268656716418,0.33693,0.060167,-0.10356,-0.052462,-0.052462
64118001,0.741293532338309,0.716417910447761,0.753731343283582,0.753731343283582,0.21931,0.053863,-0.10761,0.059728,0.059728
64118401,0.814676616915423,0.75,0.865671641791045,0.828358208955224,0.22098,-0.0047727,-0.030438,-0.10573,-0.10573
64118601,0.720149253731344,0.731343283582089,0.716417910447761,0.712686567164179,0.172,-0.0039478,0.0054897,-0.0054527,-0.0054527
64120001,0.746268656716418,0.708955223880597,0.764925373134329,0.764925373134329,0.29515,-0.098253,0.060765,0.051467,0.051467
64120201,0.697761194029851,0.701492537313433,0.686567164179104,0.705223880597015,0.19786,-0.008332,0.0051913,-0.043747,-0.043747
64120701,0.767412935323383,0.761194029850746,0.746268656716418,0.794776119402985,0.38913,-0.16668,-0.039342,0.098186,0.098186
64121001,0.761194029850746,0.761194029850746,0.764925373134329,0.757462686567164,0.1383,0.0325,-0.0010317,-0.095922,-0.095922
64121601,0.758706467661691,0.731343283582089,0.686567164179104,0.858208955223881,0.26696,-0.11402,0.042505,-0.081356,-0.081356
64122901,0.735074626865671,0.772388059701492,0.708955223880597,0.723880597014925,0.13257,-0.020778,-0.022661,0.2229,0.2229
64124501,0.701492537313433,0.712686567164179,0.697761194029851,0.694029850746269,0.35629,-0.084904,-0.03561,-0.032425,-0.032425
64125001,0.737562189054726,0.731343283582089,0.708955223880597,0.772388059701492,0.20561,-0.010299,0.062378,0.19608,0.19608
64125601,0.751243781094527,0.768656716417911,0.764925373134329,0.720149253731344,0.15825,-0.046485,0.008422,0.054772,0.054772
64126601,0.743781094527363,0.720149253731344,0.75,0.761194029850746,0.30009,-0.026829,-0.06828,-0.11151,-0.11151
64126701,0.732587064676617,0.723880597014925,0.746268656716418,0.727611940298508,0.25016,-0.049088,-0.043545,0.025171,0.025171
64127001,0.690298507462687,0.712686567164179,0.671641791044776,0.686567164179104,0.15868,-0.064351,0.028277,0.47161,0.47161
64127201,0.730099502487562,0.731343283582089,0.731343283582089,0.727611940298508,0.40586,-0.20004,0.0022307,0.16691,0.16691
64127301,0.72139303482587,0.727611940298508,0.712686567164179,0.723880597014925,0.2743,-0.0017037,0.00092699,-0.043236,-0.043236
64129001,0.701492537313433,0.720149253731344,0.694029850746269,0.690298507462687,0.11096,0.00076439,-0.013031,0.030717,0.030717
64129201,0.692786069651741,0.720149253731344,0.664179104477612,0.694029850746269,0.15454,0.093181,-0.088717,0.024111,0.024111
64129701,0.705223880597015,0.720149253731344,0.701492537313433,0.694029850746269,0.33685,-0.11972,0.047342,0.019448,0.019448
64130101,0.789800995024875,0.787313432835821,0.798507462686567,0.783582089552239,0.28365,-0.054884,0.045556,-0.11808,-0.11808
64130201,0.716417910447761,0.720149253731344,0.727611940298508,0.701492537313433,0.094328,-0.0045057,0.0052424,0.088251,0.088251
64130901,0.738805970149254,0.753731343283582,0.708955223880597,0.753731343283582,0.11163,0.012883,-0.016202,0.05193,0.05193
64131001,0.72636815920398,0.731343283582089,0.723880597014925,0.723880597014925,0.22135,-0.0044666,0.01443,0.0092537,0.0092537
64131501,0.727611940298508,0.697761194029851,0.746268656716418,0.738805970149254,0.25305,0.051985,-0.075527,-0.039844,-0.039844
64134301,0.732587064676617,0.708955223880597,0.738805970149254,0.75,0.25324,0.06102,0.057037,-0.035341,-0.035341
64134801,0.75497512437811,0.764925373134329,0.731343283582089,0.768656716417911,0.099272,-0.015538,-0.0097876,0.045666,0.045666
64135001,0.758706467661691,0.746268656716418,0.764925373134329,0.764925373134329,0.16958,-0.024006,-0.0047025,0.26408,0.26408
64136701,0.767412935323383,0.783582089552239,0.753731343283582,0.764925373134329,0.28124,0.13935,-0.092694,0.16876,0.16876
64136801,0.722636815920398,0.735074626865671,0.720149253731344,0.712686567164179,0.2951,-0.026316,-0.10841,0.039336,0.039336
64137401,0.75,0.757462686567164,0.746268656716418,0.746268656716418,0.24147,-0.061483,-0.045994,0.082562,0.082562
64138101,0.738805970149254,0.753731343283582,0.738805970149254,0.723880597014925,0.30601,-0.15586,0.0082788,0.070569,0.070569
64138301,0.699004975124378,0.69776119402985,0.682835820895523,0.716417910447761,0.21438,-0.046224,0.014001,-0.056064,-0.056064
64139201,0.717661691542289,0.708955223880597,0.723880597014925,0.720149253731344,0.34817,-0.046668,-0.08221,0.080293,0.080293
64139301,0.725124378109453,0.712686567164179,0.723880597014925,0.738805970149254,0.28328,-0.086608,-0.055398,0.00043027,0.00043027
64139401,0.703980099502488,0.682835820895523,0.716417910447761,0.712686567164179,0.17002,0.067484,-0.10012,-0.13483,-0.13483
64141301,0.75497512437811,0.75,0.75,0.764925373134329,0.31631,-0.0058753,-0.071708,-0.28713,-0.28713
64141701,0.74502487562189,0.738805970149254,0.738805970149254,0.757462686567164,0.33256,-0.03081,0.097676,-0.00040044,-0.00040044
64142601,0.757462686567164,0.783582089552239,0.75,0.738805970149254,0.16258,-0.020982,0.021307,0.12861,0.12861
64143401,0.700248756218905,0.720149253731344,0.720149253731344,0.66044776119403,0.17616,0.060606,-0.041727,-0.019427,-0.019427
64144101,0.758706467661691,0.753731343283582,0.746268656716418,0.776119402985074,0.21075,0.068429,0.063906,-0.042671,-0.042671
64144501,0.72139303482587,0.708955223880597,0.712686567164179,0.742537313432836,0.23374,-0.092324,0.022302,-0.1041,-0.1041
64144601,0.727611940298508,0.731343283582089,0.727611940298508,0.723880597014925,0.20459,0.042658,-0.085182,0.12459,0.12459
64146301,0.742537313432836,0.727611940298508,0.764925373134329,0.735074626865671,0.15686,0.16998,-0.037318,0.010372,0.010372
64146901,0.740049751243781,0.738805970149254,0.753731343283582,0.727611940298508,0.23397,-0.073677,0.035997,0.063996,0.063996
64148301,0.74502487562189,0.731343283582089,0.753731343283582,0.75,0.11146,-0.0087481,0.034496,0.21654,0.21654
64148601,0.738805970149254,0.75,0.753731343283582,0.712686567164179,0.24996,-0.0068699,-0.030499,-0.029654,-0.029654
64148801,0.738805970149254,0.727611940298508,0.742537313432836,0.746268656716418,0.3465,-0.17824,0.018218,-0.06325,-0.06325
64149401,0.748756218905473,0.761194029850746,0.738805970149254,0.746268656716418,0.10404,-0.01073,0.030942,-0.22762,-0.22762
64149901,0.723880597014925,0.723880597014925,0.746268656716418,0.701492537313433,0.16019,-0.029176,-0.026986,-0.10065,-0.10065
64150101,0.743781094527363,0.753731343283582,0.738805970149254,0.738805970149254,0.15833,0.050762,0.018838,0.13157,0.13157
64150401,0.732587064676617,0.753731343283582,0.75,0.694029850746269,0.11238,0.0015305,0.014937,-0.00301,-0.00301
64151401,0.705223880597015,0.705223880597015,0.690298507462687,0.720149253731344,0.32866,0.054724,-0.036822,0.030519,0.030519
64152701,0.701492537313433,0.712686567164179,0.701492537313433,0.690298507462687,0.11997,-0.032071,0.0081403,-0.029139,-0.029139
64153601,0.690298507462687,0.671641791044776,0.690298507462687,0.708955223880597,0.21551,0.0069443,-0.067643,0.0032895,0.0032895
64153801,0.705223880597015,0.720149253731344,0.723880597014925,0.671641791044776,0.15351,-0.036192,-0.008419,0.19439,0.19439
64154201,0.752487562189055,0.727611940298508,0.757462686567164,0.772388059701492,0.32324,0.00078582,-0.1162,0.011439,0.011439
64154401,0.774875621890547,0.779850746268657,0.768656716417911,0.776119402985074,0.18742,0.0036252,-0.020392,0.15351,0.15351
64154501,0.661691542288557,0.682835820895523,0.649253731343284,0.652985074626866,0.23084,0.04818,-0.11577,0.1449,0.1449
64154901,0.753731343283582,0.731343283582089,0.761194029850746,0.768656716417911,0.26654,-0.079022,0.0006627,-0.054823,-0.054823
64155101,0.692786069651741,0.727611940298508,0.671641791044776,0.67910447761194,0.1393,-0.021584,0.00013174,0.098208,0.098208
64155301,0.74502487562189,0.705223880597015,0.757462686567164,0.772388059701492,0.13426,0.033987,0.05479,-0.15175,-0.15175
64156501,0.731343283582089,0.716417910447761,0.727611940298508,0.75,0.12569,0.064575,0.011661,0.14241,0.14241
64156901,0.75497512437811,0.791044776119403,0.731343283582089,0.742537313432836,0.20046,-0.027299,0.029172,0.20139,0.20139
64157801,0.738805970149254,0.723880597014925,0.746268656716418,0.746268656716418,0.32005,0.040709,-0.10407,0.012221,0.012221
64158001,0.75,0.75,0.75,0.75,0.3085,-0.018182,-0.025536,0.040954,0.040954
64158201,0.748756218905473,0.753731343283582,0.723880597014925,0.768656716417911,0.15618,0.030688,-0.011947,-0.19922,-0.19922
64159301,0.742537313432836,0.746268656716418,0.738805970149254,0.742537313432836,0.15803,-0.02323,0.035711,0.10918,0.10918
64160101,0.758706467661691,0.794776119402985,0.735074626865671,0.746268656716418,0.22883,-0.035241,-0.020594,-0.013276,-0.013276
64161401,0.74502487562189,0.75,0.753731343283582,0.731343283582089,0.26418,-0.019385,-0.077342,0.044774,0.044774
64161601,0.756218905472637,0.738805970149254,0.768656716417911,0.761194029850746,0.092413,-0.0011851,0.026334,0.0018564,0.0018564
64162001,0.74502487562189,0.705223880597015,0.772388059701492,0.757462686567164,0.32376,-0.10031,-0.015459,0.016173,0.016173
64162701,0.766169154228856,0.738805970149254,0.80223880597015,0.757462686567164,0.12788,0.0083045,-0.0033873,0.060388,0.060388
64163801,0.776119402985074,0.794776119402985,0.742537313432836,0.791044776119403,0.18379,0.01344,-0.076849,0.051645,0.051645
64164801,0.705223880597015,0.731343283582089,0.671641791044776,0.712686567164179,0.13868,0.0048782,-0.04099,-0.12435,-0.12435
64165001,0.732587064676617,0.746268656716418,0.731343283582089,0.720149253731344,0.40412,-0.20486,-0.023275,-0.015423,-0.015423
64165601,0.743781094527363,0.742537313432836,0.753731343283582,0.735074626865671,0.23738,0.087256,0.00097441,0.084818,0.084818
64165701,0.735074626865671,0.712686567164179,0.75,0.742537313432836,0.2849,-0.077525,-0.0069791,0.082594,0.082594
64166501,0.741293532338309,0.738805970149254,0.731343283582089,0.753731343283582,0.28662,-0.14095,-0.0076868,0.14854,0.14854
64166701,0.690298507462687,0.757462686567164,0.708955223880597,0.604477611940298,0.1957,-0.029087,-0.043583,0.12429,0.12429
64167601,0.75497512437811,0.75,0.746268656716418,0.768656716417911,0.19783,0.038284,-0.061421,0.19377,0.19377
64167801,0.737562189054726,0.742537313432836,0.735074626865671,0.735074626865671,0.31737,-0.015122,-0.0078412,-0.055565,-0.055565
64167901,0.686567164179104,0.694029850746269,0.645522388059702,0.720149253731344,0.32929,-0.18519,0.033385,0.095284,0.095284
64168101,0.733830845771144,0.727611940298508,0.738805970149254,0.735074626865671,0.30245,-0.10443,-0.012993,-0.1334,-0.1334
64169101,0.742537313432836,0.757462686567164,0.746268656716418,0.723880597014925,0.10243,-0.0074214,-0.015645,0.12098,0.12098
64170001,0.746268656716418,0.746268656716418,0.735074626865671,0.757462686567164,0.34637,0.24964,-0.36679,0.076635,0.076635
64170601,0.736318407960199,0.738805970149254,0.69776119402985,0.772388059701492,0.19644,0.05842,0.042821,-0.10542,-0.10542
64171101,0.759950248756219,0.731343283582089,0.783582089552239,0.764925373134329,0.31089,-0.12614,0.025633,-0.087603,-0.087603
64171601,0.700248756218905,0.686567164179104,0.738805970149254,0.675373134328358,0.2407,-0.11566,0.057754,0.14863,0.14863
64171801,0.746268656716418,0.753731343283582,0.742537313432836,0.742537313432836,0.2756,-0.07161,-0.025286,0.13635,0.13635
64172901,0.716417910447761,0.723880597014925,0.723880597014925,0.701492537313433,0.14877,0.011685,-0.034319,0.058627,0.058627
