"","num_mem","P1_proj1","P1_proj2","P1_proj3","ins_g","mor_g","h_l","g_p","ta_1","ta_2","do_1","do_2","e_g","age","income","male","realestate","insurance","self_emp","mulSwitch_hl","deductible","inv_ris","valsavings"
"650",857064,35,0,65,5,1,NA,NA,NA,NA,NA,NA,6,75,0.65,0,0,0,0,NA,0,NA,6
"651",857229,60,40,0,5,2,NA,NA,9,10,NA,NA,NA,21,0,1,0,0,0,NA,0,0,4.9
"652",857260,20,40,40,3,2,NA,800,NA,NA,NA,NA,NA,54,1.745,0,0,0,0,NA,1,NA,25
"653",857388,50,20,30,5,2,NA,NA,NA,NA,NA,NA,5,65,0.864,0,0,0,0,NA,0,NA,0.2
"654",857482,50,0,50,3,1,NA,NA,NA,NA,4,3,NA,32,2.238,1,0,0,0,NA,0,0,22
"655",857501,50,25,25,4,1,NA,NA,NA,NA,2,2,NA,38,1.35,0,0,0,0,NA,1,20,26
"656",857583,0,0,100,1,2,NA,NA,NA,NA,4,5,NA,52,1,1,0,0,0,NA,1,0,NA
"657",857684,0,30,70,1,2,NA,NA,NA,NA,4,1,NA,34,2.2,1,0,0,0,NA,0,0,22.395
"658",857769,20,40,40,3,2,7,NA,NA,NA,NA,NA,NA,70,1.475,1,0,0,0,TRUE,0,NA,NA
"659",857821,0,100,0,1,2,NA,200,NA,NA,NA,NA,NA,52,1.3,0,0,0,0,NA,0,0,100
"660",857843,40,40,20,5,2,8,NA,NA,NA,NA,NA,NA,54,4.5,1,1,1,1,FALSE,1,20,10
"661",857882,0,0,100,1,3,NA,NA,7,2,NA,NA,NA,48,2,1,0,1,0,NA,1,NA,NA
"662",857931,50,30,20,3,2,NA,500,NA,NA,NA,NA,NA,44,3.497,1,0,0,0,NA,0,NA,59.95
"663",858114,75,20,5,1,1,NA,0,NA,NA,NA,NA,NA,36,1.231,0,0,0,0,NA,0,0,NA
"664",858233,100,0,0,2,1,NA,NA,NA,NA,NA,NA,1,69,0.886,0,0,0,0,NA,0,0,67
"665",858273,40,30,30,3,2,NA,NA,10,6,NA,NA,NA,22,1.75,0,NA,NA,0,NA,NA,NA,NA
"666",858432,30,50,20,1,2,NA,NA,NA,NA,NA,NA,3,52,2.4,1,NA,NA,0,NA,NA,NA,NA
"667",858547,20,30,50,4,2,NA,400,NA,NA,NA,NA,NA,60,2.119,1,NA,NA,0,NA,0,0,NA
"668",858645,100,0,0,5,1,NA,400,NA,NA,NA,NA,NA,42,1.236,0,0,0,0,NA,0,NA,7.5
"669",858749,100,0,0,1,1,NA,NA,NA,NA,1,2,NA,43,0.945,0,0,0,0,NA,0,NA,NA
"670",858767,50,40,10,4,2,NA,NA,NA,NA,4,3,NA,88,1.95,0,0,0,0,NA,0,50,264.217
"671",858859,0,0,100,2,3,NA,400,NA,NA,NA,NA,NA,60,1.195,1,0,0,0,NA,0,NA,NA
"672",858911,20,20,60,5,2,NA,NA,15,15,NA,NA,NA,58,0,0,0,0,0,NA,0,NA,19
"673",858914,80,10,10,1,1,8,NA,NA,NA,NA,NA,NA,56,0.35,1,0,0,1,FALSE,0,NA,30
"674",858959,30,30,40,1,1,NA,NA,NA,NA,NA,NA,1,69,2.6,1,0,0,0,NA,0,0,NA
"675",859420,50,50,0,1,2,NA,NA,9,11,NA,NA,NA,61,1.1,0,NA,NA,0,NA,1,NA,NA
"676",859503,88,0,12,1,2,NA,NA,6,6,NA,NA,NA,63,0.555,0,0,0,0,NA,1,NA,0
"677",859521,50,25,25,3,2,5,NA,NA,NA,NA,NA,NA,39,1,0,0,0,0,FALSE,1,NA,NA
"678",859640,100,0,0,5,1,8,NA,NA,NA,NA,NA,NA,61,0,0,0,0,0,TRUE,0,NA,0
"679",859735,100,0,0,5,1,NA,NA,NA,NA,NA,NA,2,63,2,1,0,0,0,NA,1,NA,NA
"680",859988,25,50,25,3,2,NA,NA,NA,NA,5,5,NA,47,2,0,NA,NA,0,NA,1,50,NA
"681",860089,50,25,25,5,1,NA,400,NA,NA,NA,NA,NA,56,0,0,0,0,0,NA,0,NA,NA
"682",860287,0,100,0,1,1,NA,NA,NA,NA,5,3,NA,24,1.814,0,1,0,0,NA,0,0,9
"683",860656,45,40,15,3,2,NA,NA,NA,NA,4,4,NA,72,2.45,1,1,0,0,NA,0,0,0.4
"684",860791,60,20,20,2,2,NA,NA,7,6,NA,NA,NA,18,0,0,NA,NA,0,NA,0,0,NA
"685",860888,60,30,10,1,1,NA,NA,NA,NA,NA,NA,1,65,2.358,1,0,0,0,NA,0,30,115
"686",860891,0,100,0,1,1,8,NA,NA,NA,NA,NA,NA,19,0.25,1,NA,NA,0,FALSE,NA,0,NA
"687",861050,35,35,30,1,2,11,NA,NA,NA,NA,NA,NA,41,0,0,0,0,0,FALSE,1,NA,NA
"688",861111,50,30,20,5,1,NA,NA,12,15,NA,NA,NA,28,1.5,1,0,0,0,NA,NA,0,70
"689",861184,40,40,20,1,2,NA,NA,NA,NA,NA,NA,1,35,1.78,0,0,0,0,NA,0,0,17
"690",861434,30,60,10,3,2,NA,500,NA,NA,NA,NA,NA,65,3.4,1,0,0,0,NA,0,25,5
"691",861523,0,75,25,1,2,NA,400,NA,NA,NA,NA,NA,26,1.552,0,0,0,0,NA,0,NA,-0.999
"692",861538,23,30,47,1,2,5,NA,NA,NA,NA,NA,NA,58,0.9,0,0,1,0,FALSE,0,0,NA
"693",861648,30,40,30,1,1,NA,NA,NA,NA,5,4,NA,41,1.25,0,0,0,0,NA,1,NA,NA
"694",861734,30,25,45,3,2,6.5,NA,NA,NA,NA,NA,NA,57,1.908,1,NA,NA,0,TRUE,NA,NA,NA
"695",861773,40,40,20,1,2,NA,200,NA,NA,NA,NA,NA,29,2.3,0,NA,NA,0,NA,0,0,NA
"696",861923,15,50,35,1,2,3.5,NA,NA,NA,NA,NA,NA,74,1.094,1,NA,NA,0,TRUE,0,NA,NA
"697",861968,40,30,30,5,2,9,NA,NA,NA,NA,NA,NA,77,0.69,0,0,0,0,TRUE,0,NA,4.5
"698",861987,0,0,100,1,2,7,NA,NA,NA,NA,NA,NA,21,1.25,1,NA,NA,0,FALSE,NA,NA,NA
"699",862030,0,100,0,4,1,NA,NA,NA,NA,NA,NA,2,59,2.25,1,0,0,0,NA,0,0,85
"700",862231,0,0,100,5,2,NA,NA,NA,NA,7,6,NA,22,0.06,1,0,0,0,NA,1,0,0.2
"701",862469,100,0,0,1,1,11,NA,NA,NA,NA,NA,NA,59,0.467,0,0,0,0,FALSE,0,NA,93.623
"702",862637,35,35,30,3,1,NA,NA,NA,NA,NA,NA,1,52,3.274,0,1,1,0,NA,0,3,NA
"703",862841,80,10,10,1,1,7,NA,NA,NA,NA,NA,NA,26,0.75,0,0,0,0,FALSE,1,0,0.454
"704",862927,34,33,33,5,2,NA,0,NA,NA,NA,NA,NA,30,1.2,1,0,0,0,NA,1,NA,0
"705",862939,50,30,20,1,3,NA,NA,15,5,NA,NA,NA,32,2.4,0,0,0,0,NA,0,NA,NA
"706",863171,50,30,20,5,1,NA,0,NA,NA,NA,NA,NA,45,2.5,0,NA,NA,0,NA,NA,NA,NA
