bibkey,paper,task,subject,age,gender,choice,r
Fairley2019,Fairley and Parelman 2019,BART,109,18,1,9.0769,0.16526561683517502
Fairley2019,Fairley and Parelman 2019,BERP,109,18,1,24.408,0.616488179430188
Fairley2019,Fairley and Parelman 2019,BERP,110,19,0,37.77,1.6990553306342784
Fairley2019,Fairley and Parelman 2019,BART,110,19,0,26.5,0.7910447761194029
Fairley2019,Fairley and Parelman 2019,BART,111,18,1,23.778,0.5911690119834916
Fairley2019,Fairley and Parelman 2019,BERP,111,18,1,33.6,1.105263157894737
Fairley2019,Fairley and Parelman 2019,BERP,112,NA,NA,24.268,0.6431676030955158
Fairley2019,Fairley and Parelman 2019,BART,112,NA,NA,25.917,0.7182606767729957
Fairley2019,Fairley and Parelman 2019,BART,113,19,0,15.636,0.2356096678922307
Fairley2019,Fairley and Parelman 2019,BERP,113,19,0,43.05,1.1052631578947367
Fairley2019,Fairley and Parelman 2019,BART,114,21,1,30.538,0.9126172972326818
Fairley2019,Fairley and Parelman 2019,BERP,114,21,1,32.32,1.02020202020202
Fairley2019,Fairley and Parelman 2019,BART,115,20,0,14,0.3181818181818182
Fairley2019,Fairley and Parelman 2019,BERP,115,20,0,29.279,1.019428292886738
Fairley2019,Fairley and Parelman 2019,BART,116,NA,NA,31.875,0.9922178988326849
Fairley2019,Fairley and Parelman 2019,BERP,116,NA,NA,31.221,0.9524695689313281
Fairley2019,Fairley and Parelman 2019,BART,117,21,0,20.8,0.5306122448979592
Fairley2019,Fairley and Parelman 2019,BERP,117,21,0,30.404,1.0273009866198135
Fairley2019,Fairley and Parelman 2019,BART,118,20,0,25.182,0.6487196661342676
Fairley2019,Fairley and Parelman 2019,BERP,118,20,0,27.081,0.7335247433570791
Fairley2019,Fairley and Parelman 2019,BART,119,19,1,19.077,0.37462443296742143
Fairley2019,Fairley and Parelman 2019,BERP,119,19,1,34.431,0.9680058477888047
Fairley2019,Fairley and Parelman 2019,BART,120,18,1,28.667,0.6935620448552006
Fairley2019,Fairley and Parelman 2019,BERP,120,18,1,35.533,1.03092813415731
Fairley2019,Fairley and Parelman 2019,BART,121,18,0,15.818,0.29194197334908273
Fairley2019,Fairley and Parelman 2019,BERP,121,18,0,38.086,1.1933947483862881
Fairley2019,Fairley and Parelman 2019,BART,122,19,0,31.429,0.8148349796479221
Fairley2019,Fairley and Parelman 2019,BERP,122,19,0,20.02,0.4005602240896358
Fairley2019,Fairley and Parelman 2019,BART,123,20,1,31.286,0.8081314253241721
Fairley2019,Fairley and Parelman 2019,BERP,123,20,1,36.356,1.0806087266674593
Fairley2019,Fairley and Parelman 2019,BART,124,18,1,29,0.7073170731707317
Fairley2019,Fairley and Parelman 2019,BERP,124,18,1,32.634,0.8733608092918697
Fairley2019,Fairley and Parelman 2019,BART,125,27,0,19,0.37254901960784315
Fairley2019,Fairley and Parelman 2019,BERP,125,27,0,37.45,1.1505376344086022
Fairley2019,Fairley and Parelman 2019,BART,126,19,0,27,0.7297297297297297
Fairley2019,Fairley and Parelman 2019,BERP,126,19,0,35.494,1.245141373745878
Fairley2019,Fairley and Parelman 2019,BART,127,19,0,42.714,2.006671051395283
Fairley2019,Fairley and Parelman 2019,BERP,127,19,0,34.342,1.157933778407175
Fairley2019,Fairley and Parelman 2019,BART,128,20,1,17.875,0.48148148148148145
Fairley2019,Fairley and Parelman 2019,BERP,128,20,1,30.25,1.2222222222222223
Fairley2019,Fairley and Parelman 2019,BART,129,22,0,25.846,0.6601113551616694
Fairley2019,Fairley and Parelman 2019,BERP,129,22,0,20.756,0.4691257571648133
Fairley2019,Fairley and Parelman 2019,BART,130,18,1,19.583,0.4311821564612369
Fairley2019,Fairley and Parelman 2019,BERP,130,18,1,20.436,0.4585764294049008
Fairley2019,Fairley and Parelman 2019,BART,131,22,1,33.556,0.8096708811890743
Fairley2019,Fairley and Parelman 2019,BERP,131,22,1,29.325,0.6420361247947455
Fairley2019,Fairley and Parelman 2019,BART,132,21,0,30.071,0.9418083873594538
Fairley2019,Fairley and Parelman 2019,BERP,132,21,0,46.168,2.916119252147549
Fairley2019,Fairley and Parelman 2019,BART,133,23,1,27.556,0.849340401923314
Fairley2019,Fairley and Parelman 2019,BERP,133,23,1,29.566,0.9714792666097127
Fairley2019,Fairley and Parelman 2019,BART,134,20,0,36,1.5
Fairley2019,Fairley and Parelman 2019,BERP,134,20,0,37.2,1.6315789473684215
Fairley2019,Fairley and Parelman 2019,BART,135,23,1,32,1.1428571428571428
Fairley2019,Fairley and Parelman 2019,BERP,135,23,1,40.618,2.095655763079146
Fairley2019,Fairley and Parelman 2019,BART,136,18,0,33.75,1.08
Fairley2019,Fairley and Parelman 2019,BERP,136,18,0,35.117,1.1751497506943744
