"partid","location","gamble_lab","domain","gamble_ind","rt_decision","H","R","decision"
64069601,"Basel","he04_2inv","loss",8,30005,1,0,"A"
64070201,"Basel","he04_6","gain",1,16508,0,0,"B"
64070201,"Basel","he04_2inv","loss",2,13542,1,0,"A"
64070201,"Basel","he04_3","loss",3,11917,1,0,"A"
64070201,"Basel","he04_4","loss",4,19231,0,1,"B"
64070201,"Basel","he04_6inv","loss",5,17504,1,0,"A"
64070201,"Basel","he04_1","gain",6,11591,0,0,"B"
64070201,"Basel","he04_5","gain",7,14422,0,0,"B"
64070201,"Basel","he04_2","gain",8,8565,1,1,"A"
64070601,"Basel","he04_6","gain",1,15036,1,1,"A"
64070601,"Basel","he04_5","gain",2,9515,0,0,"B"
64070601,"Basel","he04_3","loss",3,5966,1,0,"A"
64070601,"Basel","he04_6inv","loss",4,9868,1,0,"A"
64070601,"Basel","he04_2inv","loss",5,14019,1,0,"A"
64070601,"Basel","he04_1","gain",6,4554,0,0,"B"
64070601,"Basel","he04_4","loss",7,6511,0,1,"B"
64070601,"Basel","he04_2","gain",8,6585,1,1,"A"
64071401,"Basel","he04_5","gain",1,9541,0,0,"B"
64071401,"Basel","he04_6inv","loss",2,8983,0,1,"B"
64071401,"Basel","he04_3","loss",3,7373,0,1,"B"
64071401,"Basel","he04_4","loss",4,13947,1,0,"A"
64071401,"Basel","he04_2inv","loss",5,12823,1,0,"A"
64071401,"Basel","he04_1","gain",6,7624,1,1,"A"
64071401,"Basel","he04_6","gain",7,33957,1,1,"A"
64071401,"Basel","he04_2","gain",8,17086,0,0,"B"
64072601,"Basel","he04_3","loss",1,15912,1,0,"A"
64072601,"Basel","he04_1","gain",2,6808,1,1,"A"
64072601,"Basel","he04_2inv","loss",3,19242,1,0,"A"
64072601,"Basel","he04_4","loss",4,7260,0,1,"B"
64072601,"Basel","he04_6","gain",5,5220,1,1,"A"
64072601,"Basel","he04_5","gain",6,4334,1,1,"A"
