bibkey,paper,task,subject,choice,r,country,age,gender,city,longitude,lattitude
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,158,50,1,Australia,23,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,159,40,0.8368288369533943,Australia,22,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,160,30,0.7304227103091884,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,161,30,0.7304227103091884,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,162,40,0.8368288369533943,Australia,20,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,163,50,1,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,164,50,1,Australia,20,-1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,165,50,1,Australia,19,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,166,50,1,Australia,23,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,167,20,0.41503749927884603,Australia,23,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,168,30,0.7304227103091884,Australia,21,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,169,50,1,Australia,48,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,170,25,0.6309297535714603,Australia,20,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,171,25,0.6309297535714603,Australia,19,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,172,40,0.8368288369533943,Australia,21,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,173,1,1.145161086012025,Australia,25,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,174,25,0.6309297535714603,Australia,23,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,175,30,0.7304227103091884,Australia,20,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,176,20,0.41503749927884603,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,177,40,0.8368288369533943,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,178,20,0.41503749927884603,Australia,37,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,179,35,0.7916321530544465,Australia,19,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,180,50,1,Australia,39,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,181,50,1,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,182,25,0.6309297535714603,Australia,20,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,183,40,0.8368288369533943,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,184,25,0.6309297535714603,Australia,22,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,185,20,0.41503749927884603,Australia,20,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,186,30,0.7304227103091884,Australia,23,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,187,50,1,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,188,50,1,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,189,50,1,Australia,22,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,190,30,0.7304227103091884,Australia,18,-1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,191,25,0.6309297535714603,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,192,50,1,Australia,20,1,Melbourne,-37.79822719279415,144.96098472664792
