bibkey,paper,task,subject,age,gender,choice,r,country,city
Csermely2016,Csermely and Rabas 2016,EG,24,23,0,4,0.5762893091794103,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,25,22,0,8,1.6973783208895474,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,26,20,1,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,27,35,0,4,0.41093138373224064,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,28,23,1,3,0.19482876932015644,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,29,27,0,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,30,22,1,3,0.08501363820396364,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,31,66,1,4,0.5450858633988537,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,32,22,0,6,0.9084479997400194,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,33,20,1,4,0.4013652162346989,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,34,28,1,6,1.1058132920414208,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,35,21,1,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,36,25,0,5,0.7697886323602869,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,37,27,0,5,0.7796926973899826,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,38,21,1,5,0.6339037979161366,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,39,26,1,5,0.8105579515593127,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,40,25,1,4,0.33430594514822587,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,41,23,1,4,0.4230347465304658,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,42,26,0,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,43,22,0,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,44,23,0,7,1.4332391396071762,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,45,26,0,1,-0.37,Austria,Vienna
