bibkey,paper,task,subject,choice,r,gender,age,country,soep,dogamble,doinvest,dohealth,doall,treatment,city,longitude,latitude
Frey2017,Frey et al Science Advances 2017,BART,64037701,47.74,0.5948168452529281,0,28,Switzerland,7,1,2.75,2.75,3.4791666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64039601,38.14,0.42443801468951703,0,23,Switzerland,6,1.25,1.5,2.5,2.979166666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64042701,33.33,0.3520650681314038,0,27,Switzerland,2,1.5,1,2.125,2.8125,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64046301,40.45,0.46202170188463737,0,23,Switzerland,6,2,3,2.5,3.6041666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64047801,47.06,0.5814183345688164,1,24,Switzerland,1,1,1,1.75,2.458333333333333,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64049601,34.04,0.36228182205193693,1,23,Switzerland,6,1,1,2,3.0625,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64049701,44.83,0.53901647228568,1,24,Switzerland,9,1,1,3.25,3.625,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64051301,40,0.45454545454545453,1,25,Switzerland,7,1,2.25,2.75,3.2291666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64051501,50.53,0.6522524848328386,1,28,Switzerland,5,1,1,2.875,3.1666666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64052901,33.33,0.3520650681314038,1,31,Switzerland,2,1.5,1.25,1.625,2.6875,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64053701,29.79,0.30332959983708374,1,23,Switzerland,4,1,1.5,2.5,3.125,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64055001,39.05,0.43901068015739175,1,22,Switzerland,3,1,1.5,3.25,3.1041666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64056701,29.17,0.29515329353435193,0,23,Switzerland,7,1,1.5,3.875,3.4583333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64057101,35.4,0.3822894168466523,1,25,Switzerland,6,1,2,1.875,2.916666666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64057201,15.62,0.1389927033279943,1,25,Switzerland,2,2.75,2.75,2.375,3.8333333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64057901,26.67,0.2631994473502418,1,22,Switzerland,2,1,1,2.625,2.791666666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64058101,23.16,0.22090805036245706,1,33,Switzerland,2,1.25,1.25,2,2.604166666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64058701,16.63,0.14932207955463767,1,28,Switzerland,5,1,1,2.125,3.0416666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64059001,38.95,0.43739472206625496,1,30,Switzerland,6,1.75,2,1.875,3.3541666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64060701,67.18,1.10457086484709,0,33,Switzerland,7,1.25,1,3.25,3.2291666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64061701,55.5,0.7655172413793103,0,24,Switzerland,7,2.25,1.25,3.625,3.4583333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64061901,16.96,0.1527377521613833,0,26,Switzerland,4,1,1,2.5,3.0208333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64063501,31.43,0.3254633944289117,0,23,Switzerland,7,1,2,4.25,3.9791666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64063601,36.55,0.39967195188627663,1,24,Switzerland,3,1,1.75,1.625,2.75,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64066601,48.75,0.6151419558359621,1,27,Switzerland,8,1.75,2.75,3.625,3.9375,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64067701,53,0.7066666666666667,1,26,Switzerland,7,1.25,1,2.875,3.2708333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64068201,40.37,0.46068697934497316,1,25,Switzerland,2,1.25,1,2.875,3.2291666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64069001,26.54,0.2615809185886063,1,26,Switzerland,4,1,3.5,1.625,3.2083333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64069401,35.71,0.3869324953949507,1,24,Switzerland,6,1,2.25,2.5,3.2291666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64069501,50,0.6410256410256411,1,22,Switzerland,6,1,1.75,3.125,3.1458333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64069601,37,0.4065934065934066,1,24,Switzerland,6,1.5,1.75,3.25,3.4791666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64070201,28.56,0.28720836685438456,1,27,Switzerland,6,1,1,2.125,2.729166666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64070601,28.17,0.2821797054993489,1,24,Switzerland,2,1,1,1.75,2.6875,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64071401,42.5,0.49707602339181284,1,33,Switzerland,2,1,1,2.125,2.75,,Basel,7.588576,47.449601
