enumerator_code,id,education,male,T_R,T_B,T_H,a1,a2,a3,a4,a5,RA,risktime,consistency,RA_all,age,sufficient_money,gamma,pay,school_code
12,371,13,0,0,1,0,1,0,1,1,1,,4.7874918,0,4,24,1,.25,1,3
6,372,7,0,1,0,0,1,1,0,0,0,2,5.7137327,1,2,31,1,1,2,3
9,373,8,0,0,1,0,0,0,0,0,0,0,5.1929569,1,0,44,1,1,1,3
11,374,4,0,0,0,1,1,0,0,0,0,1,5.1929569,1,1,50,1,1,0,3
7,377,13,0,0,1,0,1,0,0,0,0,1,5.1474943,1,1,23,1,1,1,3
7,378,7,0,0,0,1,1,1,1,1,0,4,4.0253515,1,4,24,1,1,0,3
7,379,15,0,1,0,0,1,0,0,0,0,1,5.5134287,1,1,31,1,1,2,3
3,380,4,1,0,0,1,0,1,1,1,0,,4.6913481,0,3,29,1,.5,0,3
9,381,7,0,1,0,0,1,1,1,1,0,4,4.7874918,1,4,29,1,1,2,3
11,382,15,0,1,0,0,1,0,0,0,0,1,4.7874918,1,1,30,1,1,2,3
13,383,1,0,0,1,0,1,0,0,0,0,1,5.1929569,1,1,22,1,1,1,3
10,384,4,0,1,0,0,0,1,1,1,1,,5.267858,0,4,29,1,0,2,7
9,385,13,0,0,0,1,1,1,1,0,0,3,5.480639,1,3,27,0,1,0,7
1,387,19,0,1,0,0,1,1,0,0,0,2,5.7807436,1,2,34,1,1,2,7
6,388,7,0,1,0,0,1,0,0,0,0,1,5.480639,1,1,24,0,1,2,7
7,389,7,0,0,0,1,0,0,0,0,0,0,4.5538769,1,0,40,1,1,0,12
8,390,1,0,0,1,0,1,1,0,0,0,2,5.2257466,1,2,34,1,1,1,7
4,391,7,0,1,0,0,0,0,0,0,0,0,4.934474,1,0,28,1,1,2,9
11,392,15,0,0,0,1,1,1,0,0,0,2,4.7874918,1,2,37,1,1,0,8
11,393,15,0,1,0,0,1,1,0,0,0,2,4.7874918,1,2,35,1,1,2,8
11,394,15,0,1,0,0,1,1,0,0,0,2,4.7874918,1,2,42,1,1,2,8
9,395,10,0,1,0,0,0,0,0,1,0,,5.8861041,0,1,25,1,.25,2,6
7,396,14,0,1,0,0,1,0,1,0,0,,5.2933049,0,2,31,0,.82999998,2,2
5,397,16,0,1,0,0,0,0,0,0,0,0,4.5217886,1,0,26,0,1,2,2
11,398,15,0,1,0,0,1,1,0,0,0,2,5.1929569,1,2,23,1,1,2,8
12,399,13,0,0,1,0,1,1,1,0,0,3,4.7874918,1,3,43,1,1,1,2
